date,HillaryClinton,realDonaldTrump
2015-12-12,0.0,85557.0
2015-12-13,0.0,175410.0
2015-12-14,0.0,144599.0
2015-12-15,0.0,251323.0
2015-12-16,0.0,161193.0
2015-12-17,0.0,107336.0
2015-12-18,0.0,120942.0
2015-12-19,0.0,116439.0
2015-12-20,0.0,146181.0
2015-12-21,0.0,158006.0
2015-12-22,0.0,165848.0
2015-12-23,28135.0,166022.0
2015-12-24,26478.0,120576.0
2015-12-25,13519.0,88595.0
2015-12-26,22423.0,89267.0
2015-12-27,26897.0,123692.0
2015-12-28,29008.0,143803.0
2015-12-29,33038.0,133138.0
2015-12-30,31262.0,113957.0
2015-12-31,22360.0,119586.0
2016-01-01,26247.0,92589.0
2016-01-02,24237.0,117621.0
2016-01-03,30490.0,132544.0
2016-01-04,37592.0,104633.0
2016-01-05,41686.0,109501.0
2016-01-06,39113.0,113970.0
2016-01-07,48982.0,155537.0
2016-01-08,45050.0,113329.0
2016-01-09,30967.0,100179.0
2016-01-10,38642.0,96596.0
2016-01-11,59350.0,97241.0
2016-01-12,73113.0,125391.0
2016-01-13,56561.0,132288.0
2016-01-14,73089.0,195835.0
2016-01-15,60664.0,135372.0
2016-01-16,43407.0,157520.0
2016-01-17,175050.0,135766.0
2016-01-18,79851.0,152526.0
2016-01-19,61101.0,170501.0
2016-01-20,79151.0,132674.0
2016-01-21,58321.0,149016.0
2016-01-22,56619.0,203742.0
2016-01-23,42794.0,148415.0
2016-01-24,50174.0,0.0
2016-01-25,91559.0,48140.0
2016-01-26,60141.0,285055.0
2016-01-27,52756.0,349372.0
2016-01-28,69990.0,372584.0
2016-01-29,69056.0,222980.0
2016-01-30,62393.0,136628.0
2016-01-31,72119.0,159574.0
2016-02-01,143506.0,266911.0
2016-02-02,144413.0,271078.0
2016-02-03,131492.0,249113.0
2016-02-04,167515.0,125154.0
2016-02-05,93317.0,0.0
2016-02-06,5254.0,108824.0
2016-02-07,0.0,178714.0
2016-02-08,79701.0,138412.0
2016-02-09,125192.0,264238.0
2016-02-10,27653.0,67762.0
2016-02-11,17200.0,173747.0
2016-02-12,0.0,286808.0
2016-02-13,24000.0,125689.0
2016-02-17,23007.0,86303.0
2016-02-18,86228.0,353925.0
2016-02-19,119566.0,18975.0
2016-02-20,112607.0,0.0
2016-02-21,51008.0,114677.0
2016-02-22,63185.0,214712.0
2016-02-23,94019.0,211716.0
2016-02-24,64100.0,319063.0
2016-02-25,91764.0,438958.0
2016-02-26,73638.0,476352.0
2016-02-27,122913.0,310559.0
2016-02-28,74723.0,434073.0
2016-02-29,43778.0,382223.0
2016-03-01,157046.0,491623.0
2016-03-02,90439.0,421731.0
2016-03-03,96852.0,707052.0
2016-03-04,46829.0,366452.0
2016-03-05,82513.0,358128.0
2016-03-06,172680.0,258119.0
2016-03-07,32350.0,290401.0
2016-03-08,52374.0,372258.0
2016-03-09,148068.0,262950.0
2016-03-10,117347.0,156694.0
2016-03-11,83791.0,0.0
2016-03-12,118889.0,257709.0
2016-03-13,115572.0,393843.0
2016-03-14,97304.0,110671.0
2016-03-15,165268.0,0.0
2016-03-16,104528.0,254358.0
2016-03-17,66131.0,331203.0
2016-03-18,59181.0,354634.0
2016-03-19,48026.0,370561.0
2016-03-20,48611.0,287491.0
2016-03-21,79325.0,318856.0
2016-03-22,65364.0,458234.0
2016-03-23,31639.0,368625.0
2016-03-24,69637.0,410019.0
2016-03-25,56785.0,260878.0
2016-03-26,41447.0,285932.0
2016-03-27,14635.0,271428.0
2016-03-28,115022.0,289122.0
2016-03-29,117334.0,410916.0
2016-03-30,118998.0,310583.0
2016-03-31,100178.0,283458.0
2016-04-01,88026.0,291183.0
2016-04-02,69623.0,232923.0
2016-04-03,63713.0,266214.0
2016-04-04,72624.0,263148.0
2016-04-05,92527.0,272916.0
2016-04-06,138078.0,203937.0
2016-04-07,126277.0,79624.0
2016-04-08,65644.0,140009.0
2016-04-11,25416.0,219589.0
2016-04-12,77652.0,199765.0
2016-04-13,69089.0,167198.0
2016-04-14,202454.0,158439.0
2016-04-15,122649.0,139052.0
2016-04-16,72054.0,166827.0
2016-04-17,67858.0,160357.0
2016-04-18,82141.0,162723.0
2016-04-19,166277.0,264112.0
2016-04-20,106204.0,199954.0
2016-04-21,68236.0,169695.0
2016-04-22,23390.0,73977.0
2016-04-23,56338.0,137820.0
2016-04-24,62448.0,139283.0
2016-04-25,80330.0,167391.0
2016-04-26,150946.0,166488.0
2016-04-27,106418.0,328031.0
2016-04-28,61099.0,221457.0
2016-04-29,54017.0,234018.0
2016-04-30,49081.0,189818.0
2016-05-01,67256.0,188254.0
2016-05-02,67591.0,226971.0
2016-05-03,107623.0,410054.0
2016-05-04,174661.0,330497.0
2016-05-05,91679.0,432273.0
2016-05-06,29788.0,399207.0
2016-05-07,58248.0,292497.0
2016-05-08,21431.0,194827.0
2016-05-09,70387.0,249980.0
2016-05-10,58043.0,276347.0
2016-05-11,38588.0,325970.0
2016-05-12,157514.0,240347.0
2016-05-13,131672.0,208540.0
2016-05-14,111790.0,330165.0
2016-05-15,116881.0,414489.0
2016-05-16,145558.0,478584.0
2016-05-17,194144.0,665464.0
2016-05-18,168195.0,470407.0
2016-05-19,148229.0,304847.0
2016-05-20,91259.0,240690.0
2016-05-21,79727.0,201733.0
2016-05-22,76250.0,201645.0
2016-05-23,81311.0,176123.0
2016-05-24,90081.0,203685.0
2016-05-25,37570.0,268943.0
2016-05-26,97732.0,298948.0
2016-05-27,74750.0,227187.0
2016-05-28,54376.0,203005.0
2016-05-29,52723.0,18924.0
2016-05-30,52325.0,168879.0
2016-05-31,73247.0,236585.0
2016-06-01,104714.0,195943.0
2016-06-02,176222.0,320972.0
2016-06-03,138830.0,296513.0
2016-06-04,96840.0,248246.0
2016-06-05,108624.0,188484.0
2016-06-06,13355.0,19742.0
2016-06-21,128911.0,317815.0
2016-06-22,177140.0,318062.0
2016-06-23,106455.0,245666.0
2016-06-24,112105.0,325381.0
2016-06-25,80981.0,192756.0
2016-06-26,103974.0,245875.0
2016-06-27,153265.0,208955.0
2016-06-28,165681.0,243432.0
2016-06-29,121746.0,232369.0
2016-06-30,85302.0,216103.0
2016-07-01,79807.0,195334.0
2016-07-02,91606.0,217211.0
2016-07-03,80233.0,204233.0
2016-07-04,67819.0,254776.0
2016-07-05,263272.0,58505.0
2016-07-06,220735.0,342916.0
2016-07-07,190407.0,215356.0
2016-07-08,152045.0,207473.0
2016-07-09,104244.0,111106.0
2016-07-10,78481.0,167070.0
2016-07-11,94473.0,173209.0
2016-07-12,201628.0,304999.0
2016-07-13,14335.0,304857.0
2016-07-14,0.0,324221.0
2016-07-15,107342.0,307832.0
2016-07-16,12498.0,246126.0
2016-07-17,82274.0,374056.0
2016-07-18,191071.0,296370.0
2016-07-19,233801.0,476311.0
2016-07-20,223139.0,473723.0
2016-07-21,289469.0,675483.0
2016-07-22,386043.0,461365.0
2016-07-23,261543.0,392803.0
2016-07-24,235239.0,435568.0
2016-07-25,437650.0,535648.0
2016-07-26,478967.0,540913.0
2016-07-27,472785.0,713713.0
2016-07-28,816761.0,567364.0
2016-07-29,496887.0,715180.0
2016-07-30,194257.0,540582.0
2016-07-31,196502.0,487625.0
2016-08-01,169681.0,624478.0
2016-08-02,155709.0,584300.0
2016-08-03,167548.0,458029.0
2016-08-04,167842.0,368072.0
2016-08-05,191779.0,396626.0
2016-08-06,145336.0,342556.0
2016-08-07,139472.0,301630.0
2016-08-08,166466.0,417618.0
2016-08-09,197670.0,525656.0
2016-08-10,188059.0,466365.0
2016-08-11,229108.0,359063.0
2016-08-12,156842.0,403431.0
2016-08-13,104561.0,291058.0
2016-08-14,102507.0,409284.0
2016-08-15,153479.0,335370.0
2016-08-16,137747.0,335584.0
2016-08-17,126090.0,353837.0
2016-08-18,125680.0,338509.0
2016-08-19,131643.0,421286.0
2016-08-20,109168.0,320287.0
2016-08-21,118829.0,257473.0
2016-08-22,133749.0,317799.0
2016-08-23,134143.0,313300.0
2016-08-24,127024.0,278411.0
2016-08-25,283727.0,378123.0
2016-08-26,26061.0,43933.0
