date,timkaine,mike_pence
2016-10-04 20:00:00,529,571
2016-10-04 20:05:00,692,757
2016-10-04 20:10:00,636,783
2016-10-04 20:15:00,669,787
2016-10-04 20:20:00,663,830
2016-10-04 20:25:00,694,814
2016-10-04 20:30:00,928,876
2016-10-04 20:35:00,1010,930
2016-10-04 20:40:00,1113,850
2016-10-04 20:45:00,2206,998
2016-10-04 20:50:00,3235,941
2016-10-04 20:55:00,3092,1362
2016-10-04 21:00:00,3204,1586
2016-10-04 21:05:00,5714,2146
2016-10-04 21:10:00,8507,5214
2016-10-04 21:15:00,13226,10819
2016-10-04 21:20:00,15142,12235
2016-10-04 21:25:00,18656,14076
2016-10-04 21:30:00,16821,18930
2016-10-04 21:35:00,17575,20161
2016-10-04 21:40:00,16470,18235
2016-10-04 21:45:00,17922,16240
2016-10-04 21:50:00,17177,15484
2016-10-04 21:55:00,17734,18685
2016-10-04 22:00:00,16087,17328
2016-10-04 22:05:00,17034,17643
2016-10-04 22:10:00,19482,16798
2016-10-04 22:15:00,17159,16144
2016-10-04 22:20:00,15723,16277
2016-10-04 22:25:00,14533,15764
2016-10-04 22:30:00,26236,18417
2016-10-04 22:35:00,18474,17841
2016-10-04 22:40:00,12793,14638
2016-10-04 22:45:00,11751,12836
2016-10-04 22:50:00,10585,11852
2016-10-04 22:55:00,8410,10519
2016-10-04 23:00:00,7959,8698
2016-10-04 23:05:00,7924,8417
2016-10-04 23:10:00,6785,7326
2016-10-04 23:15:00,6279,6544
2016-10-04 23:20:00,5807,6335
2016-10-04 23:25:00,5174,6028
2016-10-04 23:30:00,4474,5226
2016-10-04 23:35:00,4294,4913
2016-10-04 23:40:00,4179,4729
2016-10-04 23:45:00,3818,4358
2016-10-04 23:50:00,3475,3841
2016-10-04 23:55:00,3442,3921
2016-10-05 00:00:00,2722,3013
2016-10-05 00:05:00,2661,2919
2016-10-05 00:10:00,2686,3041
2016-10-05 00:15:00,2711,3095
2016-10-05 00:20:00,2922,2803
2016-10-05 00:25:00,2919,2499
2016-10-05 00:30:00,2618,2252
2016-10-05 00:35:00,2259,1905
2016-10-05 00:40:00,2120,1865
2016-10-05 00:45:00,1833,1703
2016-10-05 00:50:00,1761,1616
2016-10-05 00:55:00,1796,1547
2016-10-05 01:00:00,1454,1396
2016-10-05 01:05:00,1471,1506
2016-10-05 01:10:00,1333,1439
2016-10-05 01:15:00,1337,1332
2016-10-05 01:20:00,1149,1234
2016-10-05 01:25:00,1177,1331
